name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
test_floatfield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'floatfield', '3']"
test_floatfield_widget_attrs,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'floatfield', 'widget', 'attrs']"
test_floatfield_localized,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'floatfield', 'localized']"
test_floatfield_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'floatfield', 'changed']"
localized_n,2,,,,,,,,,2,lower_case_with_underscores,"['localized', 'n']"
test_decimalfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', '1']"
test_decimalfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', '2']"
test_decimalfield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', '3']"
test_decimalfield_4,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', '4']"
test_decimalfield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', '5']"
test_decimalfield_6,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', '6']"
test_decimalfield_scientific,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', 'scientific']"
test_decimalfield_widget_attrs,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', 'widget', 'attrs']"
test_decimalfield_localized,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', 'localized']"
test_decimalfield_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'decimalfield', 'changed']"
localized_d,2,,,,,,,,,2,lower_case_with_underscores,"['localized', 'd']"
test_datefield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', '1']"
test_datefield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', '2']"
test_datefield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', '3']"
test_datefield_4,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', '4']"
test_datefield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', '5']"
test_datefield_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', 'changed']"
_has_changed,1,,,,,,,,,1,lower_case_with_underscores,"['has', 'changed']"
test_datefield_strptime,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield', 'strptime']"
test_timefield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'timefield', '1']"
test_timefield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'timefield', '2']"
test_timefield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'timefield', '3']"
test_timefield_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'timefield', 'changed']"
test_datetimefield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield', '1']"
test_datetimefield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield', '2']"
test_datetimefield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield', '3']"
test_datetimefield_4,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield', '4']"
test_datetimefield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield', '5']"
test_datetimefield_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield', 'changed']"
test_durationfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'durationfield', '1']"
milliseconds,5,,,,,,5,,,,lowercase,['milliseconds']
test_durationfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'durationfield', '2']"
DurationForm,2,,1,,,,,,,1,CapitalizedWords,"['duration', 'form']"
test_durationfield_prepare_value,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'durationfield', 'prepare', 'value']"
test_regexfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield', '1']"
test_regexfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield', '2']"
test_regexfield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield', '3']"
test_regexfield_4,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield', '4']"
test_regexfield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield', '5']"
test_regexfield_6,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield', '6']"
test_change_regex_after_init,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'change', 'regex', 'after', 'init']"
test_emailfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'emailfield', '1']"
test_email_regexp_for_performance,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'email', 'regexp', 'for', 'performance']"
test_emailfield_not_required,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'emailfield', 'not', 'required']"
test_emailfield_min_max_length,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'emailfield', 'min', 'max', 'length']"
test_filefield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'filefield', '1']"
test_filefield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'filefield', '2']"
test_filefield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'filefield', '3']"
test_filefield_changed,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'filefield', 'changed']"
test_imagefield_annotate_with_image_after_clean,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'imagefield', 'annotate', 'with', 'image', 'after', 'clean']"
img_file,10,,,,,,,,,10,lower_case_with_underscores,"['img', 'file']"
img_data,4,,,,,,,,,4,lower_case_with_underscores,"['img', 'data']"
uploaded_file,6,,,,,,,,,6,lower_case_with_underscores,"['uploaded', 'file']"
test_imagefield_annotate_with_bitmap_image_after_clean,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'imagefield', 'annotate', 'with', 'bitmap', 'image', 'after', 'clean']"
BmpImagePlugin,1,,,1,,,,,,,CapitalizedWords,"['bmp', 'image', 'plugin']"
BmpImageFile,3,,,1,,,,,,2,CapitalizedWords,"['bmp', 'image', 'file']"
register_mime,2,,,,,,,,,2,lower_case_with_underscores,"['register', 'mime']"
test_urlfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'urlfield', '1']"
test_url_regex_ticket11198,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'url', 'regex', 'ticket11198']"
test_urlfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'urlfield', '2']"
test_urlfield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'urlfield', '5']"
