name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
import_tags,8,,,,,,,,,8,lower_case_with_underscores,"['import', 'tags']"
jls_cmd,3,,,,,,,,,3,lower_case_with_underscores,"['jls', 'cmd']"
finditer,1,,,,,,,,,1,lowercase,['finditer']
ktype,2,,,,,,,,,2,lowercase,['ktype']
record_set,3,,,,,,,,,3,lower_case_with_underscores,"['record', 'set']"
get_flags,4,1,,,,,,,,3,lower_case_with_underscores,"['get', 'flags']"
that,4,,,,,,,,,4,lowercase,['that']
altzone,1,,,,,,,,,1,lowercase,['altzone']
parameter_group,1,,,,,,,,,1,lower_case_with_underscores,"['parameter', 'group']"
template_class,2,,,,,,,,,2,lower_case_with_underscores,"['template', 'class']"
fname,9,,,,,,,,,9,lowercase,['fname']
add_group,5,2,,,,,,,,3,lower_case_with_underscores,"['add', 'group']"
sub_folders,1,,,,,,,,,1,lower_case_with_underscores,"['sub', 'folders']"
_search_executable,3,1,,,,,,,,2,lower_case_with_underscores,"['search', 'executable']"
get_host_variables,5,3,,,,,,,,2,lower_case_with_underscores,"['get', 'host', 'variables']"
data2,2,,,,,,,,,2,lowercase,['data2']
hostfiledir,5,,,,,,,,,5,lowercase,['hostfiledir']
sudocmd,4,,,,,,,,,4,lowercase,['sudocmd']
HC3,6,,,,,,,,,6,UPPERCASE,['hc3']
glob,21,,,6,,,,,,15,lowercase,['glob']
object,88,,,,,,,,,88,lowercase,['object']
_datacenter_cache,5,,,,,,,,,5,lower_case_with_underscores,"['datacenter', 'cache']"
scripts,1,,,,,,1,,,,lowercase,['scripts']
sudo_user_var,3,,,,,,,,,3,lower_case_with_underscores,"['sudo', 'user', 'var']"
test_simple_string_ipv4_vars,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'simple', 'string', 'ipv4', 'vars']"
settimeout,2,,,,,,,,,2,lowercase,['settimeout']
doc,21,,,,,,,,,21,lowercase,['doc']
m,32,,,,,,,,,32,b,['m']
inventory_dir,2,,,,,,,,,2,lower_case_with_underscores,"['inventory', 'dir']"
chroot_cmd,4,,,,,,,,,4,lower_case_with_underscores,"['chroot', 'cmd']"
te,2,,,,,,,,,2,lowercase,['te']
AttributeError,5,,,,,,,,,5,CapitalizedWords,"['attribute', 'error']"
sum,1,,,,,,,,,1,lowercase,['sum']
universal_newlines,1,,,,,,1,,,,lower_case_with_underscores,"['universal', 'newlines']"
