name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
scan_f,14,,,,,,,,,14,lower_case_with_underscores,"['scan', 'f']"
r_name,7,,,,,,,,,7,lower_case_with_underscores,"['r', 'name']"
scan_c,2,,,,,,,1,,1,lower_case_with_underscores,"['scan', 'c']"
gcc_llvm,5,1,,,,,,,,4,lower_case_with_underscores,"['gcc', 'llvm']"
grad_val,6,,,,,,,,,6,lower_case_with_underscores,"['grad', 'val']"
inplace,587,,,5,,,132,,,450,lowercase,['inplace']
dsn,3,,,,,,,,,3,lowercase,['dsn']
re,19,,,6,,,,,,13,lowercase,['re']
rf,11,,,,,,,,,11,lowercase,['rf']
ra,15,,,,,,,,,15,lowercase,['ra']
rb,23,,,,,,,,,23,lowercase,['rb']
rc,18,,,,,,,,,18,lowercase,['rc']
rm,9,,,,,,,,,9,lowercase,['rm']
test_softmax_cudnn,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'softmax', 'cudnn']"
ri,32,,,,,,,,,32,lowercase,['ri']
rk,6,,,,,,,,,6,lowercase,['rk']
get_vector_length,15,1,,3,,,,,,11,lower_case_with_underscores,"['get', 'vector', 'length']"
v_range,2,,,,,,,,,2,lower_case_with_underscores,"['v', 'range']"
outer_inp_sitsot,5,,,,,,,,,5,lower_case_with_underscores,"['outer', 'inp', 'sitsot']"
ScalarConstant,7,,1,,,,,,,6,CapitalizedWords,"['scalar', 'constant']"
decl_ptrs,4,1,,,,,,,,3,lower_case_with_underscores,"['decl', 'ptrs']"
upy,7,,,,,,,,,7,lowercase,['upy']
GpuGer,13,,2,2,,,,,,9,CapitalizedWords,"['gpu', 'ger']"
sym,5,,,,,,,,,5,lowercase,['sym']
crossentropy_to_crossentropy_with_softmax,2,1,,,,,,,,1,lower_case_with_underscores,"['crossentropy', 'to', 'crossentropy', 'with', 'softmax']"
t_left,3,,,,,,,,,3,lower_case_with_underscores,"['t', 'left']"
md5,9,,,1,,,,,,8,lowercase,['md5']
r4,14,,,,,,,,,14,lowercase,['r4']
r5,25,,,,,,,,,25,lowercase,['r5']
default_lines,4,,,,,,,,,4,lower_case_with_underscores,"['default', 'lines']"
r0,21,,,,,,,,,21,lowercase,['r0']
r1,91,,,,,,,,,91,lowercase,['r1']
