name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
Develop,2,,1,,,,,,,1,CapitalizedWords,['develop']
announce,4,,,,,,,,,4,lowercase,['announce']
level,33,,,,,2,8,,,23,lowercase,['level']
INFO,18,,,1,,,,,,17,UPPERCASE,"['inf', 'o']"
installed_packages,2,,,,,,,,,2,lower_case_with_underscores,"['installed', 'packages']"
splitlines,8,,,,,,,,,8,lowercase,['splitlines']
decode,98,1,,,,,2,,,95,lowercase,['decode']
check_output,12,,,1,,,,,,11,lower_case_with_underscores,"['check', 'output']"
airflow_provider_packages,3,,,,,,,,,3,lower_case_with_underscores,"['airflow', 'provider', 'packages']"
package_line,3,,,,,,,,,3,lower_case_with_underscores,"['package', 'line']"
CalledProcessError,6,,,,,,,,,6,CapitalizedWords,"['called', 'process', 'error']"
WARN,2,,,,,,,,,2,UPPERCASE,"['war', 'n']"
Install,2,,1,,,,,,,1,CapitalizedWords,['install']
do_setup,2,1,,,,,,,,1,lower_case_with_underscores,"['do', 'setup']"
setup_kwargs,3,,,,,,,,,3,lower_case_with_underscores,"['setup', 'kwargs']"
include_provider_namespace_packages_when_installing_from_sources,2,1,,,,,,,,1,lower_case_with_underscores,"['include', 'provider', 'namespace', 'packages', 'when', 'installing', 'from', 'sources']"
include,8,,,,,1,2,,,5,lowercase,['include']
distclass,1,,,,,,1,,,,lowercase,['distclass']
extras_require,1,,,,,,1,,,,lower_case_with_underscores,"['extras', 'require']"
download_url,6,,,,,,1,,,5,lower_case_with_underscores,"['download', 'url']"
cmdclass,1,,,,,,1,,,,lowercase,['cmdclass']
datetime,883,1,,327,,,1,,,554,lowercase,['datetime']
functools,174,,,135,,,,,,39,lowercase,['functools']
multiprocessing,28,,,15,,,,,,13,lowercase,['multiprocessing']
re,166,,,58,,,,,,108,lowercase,['re']
shlex,16,,,7,,,,,,9,lowercase,['shlex']
warnings,529,,,157,,,,,,372,lowercase,['warnings']
base64,27,,,16,,,,,,11,lowercase,['base64']
b64encode,14,,,4,,,,,,10,lowercase,['b64encode']
collections,85,,,51,,,,,,34,lowercase,['collections']
OrderedDict,28,,,9,,,,,,19,CapitalizedWords,"['ordered', 'dict']"
configparser,3,,,2,,,,,,1,lowercase,['configparser']
_UNSET,19,,,1,,,,,,18,UPPERCASE,"['unse', 't']"
ConfigParser,10,,,1,,,,,,9,CapitalizedWords,"['config', 'parser']"
NoOptionError,3,,,1,,,,,,2,CapitalizedWords,"['no', 'option', 'error']"
NoSectionError,4,,,1,,,,,,3,CapitalizedWords,"['no', 'section', 'error']"
contextlib,56,,,39,,,,,,17,lowercase,['contextlib']
suppress,22,,,6,,,,,,16,lowercase,['suppress']
decoder,7,,,1,,,,,,6,lowercase,['decoder']
JSONDecodeError,28,,,8,,,,,,20,CapitalizedWords,"['json', 'decode', 'error']"
Pattern,11,,,3,,,,,,8,CapitalizedWords,['pattern']
IO,20,,,7,,,,1,,12,UPPERCASE,"['i', 'o']"
Any,1585,,,303,,,,,,1282,CapitalizedWords,['any']
Dict,32,,,17,,,,,,15,CapitalizedWords,['dict']
Tuple,33,,,15,,,,,,18,CapitalizedWords,['tuple']
Union,54,,,22,,,,,,32,CapitalizedWords,['union']
urllib,39,,,38,,,,,,1,lowercase,['urllib']
parse,81,2,,40,,,,,,39,lowercase,['parse']
urlparse,42,,,19,,,,,,23,lowercase,['urlparse']
typing_extensions,10,,,9,,,,,,1,lower_case_with_underscores,"['typing', 'extensions']"
overload,44,,,10,,,,,,34,lowercase,['overload']
airflow,4294,,,4278,,,,,,16,lowercase,['airflow']
exceptions,484,,,433,,1,,,,50,lowercase,['exceptions']
AirflowConfigException,63,,1,20,,,,,,42,CapitalizedWords,"['airflow', 'config', 'exception']"
secrets,51,,,15,,2,1,,,33,lowercase,['secrets']
DEFAULT_SECRETS_SEARCH_PATH,3,,,1,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['default', 'secrets', 'search', 'path']"
BaseSecretsBackend,22,,1,10,,,,,,11,CapitalizedWords,"['base', 'secrets', 'backend']"
utils,1037,,,1032,,,,,,5,lowercase,['utils']
yaml,48,,,23,,,,,,25,lowercase,['yaml']
